season,episode,name,title,viewers,rating,deaths,,,,,,,,
1,1,S1E1,Winter Is Coming,2.22,9,4,,,,,,,,
1,2,S1E2,The Kingsroad,2.2,8.8,2,,,,,,,,
1,3,S1E3,Lord Snow,2.44,8.7,0,,,,,,,,
1,4,S1E4,"Cripples, Bastards, and Broken Things",2.45,8.8,1,,,,,,,,
1,5,S1E5,The Wolf and the Lion,2.58,9.1,5,,,,,,,,
1,6,S1E6,A Golden Crown,2.44,9.2,4,,,,,,,,
1,7,S1E7,You Win or You Die,2.4,9.2,2,,,,,,,,
1,8,S1E8,The Pointy End,2.72,9,6,,,,,,,,
1,9,S1E9,Baelor,2.66,9.6,2,,,,,,,,
1,10,S1E10,Fire and Blood,3.04,9.5,2,,,,,,,,
2,1,S2E1,The North Remembers,3.86,8.8,2,,,,,,,,
2,2,S2E2,The Night Lands,3.76,8.6,1,,,,,,,,
2,3,S2E3,What Is Dead May Never Die,3.77,8.9,2,,,,,,,,
2,4,S2E4,Garden of Bones,3.65,8.8,3,,,,,,,,
2,5,S2E5,The Ghost of Harrenhal,3.9,8.8,4,,,,,,,,
2,6,S2E6,The Old Gods and the New,3.88,9.1,5,,,,,,,,
2,7,S2E7,A Man Without Honor,3.69,8.9,5,,,,,,,,
2,8,S2E8,The Prince of Winterfell,3.86,8.8,3,,,,,,,,
2,9,S2E9,Blackwater,3.38,9.7,2,,,,,,,,
2,10,S2E10,Valar Morghulis,4.2,9.4,6,,,,,,,,
3,1,S3E1,Valar Dohaeris,4.37,8.8,0,,,,,,,,
3,2,S3E2,"Dark Wings, Dark Words",4.27,8.6,1,,,,,,,,
3,3,S3E3,Walk of Punishment,4.72,8.9,1,,,,,,,,
3,4,S3E4,And Now His Watch Is Ended,4.87,9.5,4,,,,,,,,
3,5,S3E5,Kissed by Fire,5.35,9,3,,,,,,,,
3,6,S3E6,The Climb,5.5,8.8,1,,,,,,,,
3,7,S3E7,The Bear and the Maiden Fair,4.84,8.7,0,,,,,,,,
3,8,S3E8,Second Sons,5.13,9,3,,,,,,,,
3,9,S3E9,The Rains of Castamere,5.22,9.9,6,,,,,,,,
3,10,S3E10,Mhysa,5.39,9.1,1,,,,,,,,
4,1,S4E1,Two Swords,6.64,9.1,2,,,,,,,,
4,2,S4E2,The Lion and the Rose,6.31,9.7,3,,,,,,,,
4,3,S4E3,Breaker of Chains,6.59,8.9,4,,,,,,,,
4,4,S4E4,Oathkeeper,6.95,8.8,1,,,,,,,,
4,5,S4E5,First of His Name,7.16,8.8,3,,,,,,,,
4,6,S4E6,The Laws of Gods and Men,6.4,9.7,0,,,,,,,,
4,7,S4E7,Mockingbird,7.2,9.2,4,,,,,,,,
4,8,S4E8,The Mountain and the Viper,7.17,9.7,4,,,,,,,,
4,9,S4E9,The Watchers on the Wall,6.95,9.6,10,,,,,,,,
4,10,S4E10,The Children,7.09,9.7,4,,,,,,,,
5,1,S5E1,The Wars to Come,8,8.5,2,,,,,,,,
5,2,S5E2,The House of Black and White,6.81,8.6,2,,,,,,,,
5,3,S5E3,High Sparrow,6.71,8.6,1,,,,,,,,
5,4,S5E4,Sons of the Harpy,6.82,8.8,3,,,,,,,,
5,5,S5E5,Kill the Boy,6.56,8.7,1,,,,,,,,
5,6,S5E6,"Unbowed, Unbent, Unbroken",6.24,8,1,,,,,,,,
5,7,S5E7,The Gift,5.4,9,2,,,,,,,,
5,8,S5E8,Hardhome,7.01,9.9,4,,,,,,,,
5,9,S5E9,The Dance of Dragons,7.14,9.5,2,,,,,,,,
5,10,S5E10,Mother's Mercy,8.11,8.9,6,,,,,,,,
6,1,S6E1,The Red Woman,7.94,8.5,5,,,,,,,,
6,2,S6E2,Home,7.29,9.5,5,,,,,,,,
6,3,S6E3,Oathbreaker,7.28,8.8,7,,,,,,,,
6,4,S6E4,Book of the Stranger,7.82,9.2,13,,,,,,,,
6,5,S6E5,The Door,7.89,9.7,4,,,,,,,,
6,6,S6E6,Blood of My Blood,6.71,8.4,1,,,,,,,,
6,7,S6E7,The Broken Man,7.8,8.6,2,,,,,,,,
6,8,S6E8,No One,7.6,8.4,11,,,,,,,,
6,9,S6E9,Battle of the Bastards,7.66,9.9,6,,,,,,,,
6,10,S6E10,The Winds of Winter,8.89,9.9,11,,,,,,,,
7,1,S7E1,Dragonstone,10.11,8.7,,,,,,,,,
7,2,S7E2,Stormborn,9.27,9,,,,,,,,,
7,3,S7E3,The Queen's Justice,9.25,9.4,,,,,,,,,
7,4,S7E4,The Spoils of War,10.17,9.9,,,,,,,,,
