,amadeus_code,rates,lat,lon,location_cell,tripadvisor_amenities,tripadvisor_name
0,ALLGA121,202.6793846153846,40.77,-73.87009,20,"['Room Service', 'Free Parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Shuttle Bus Service', 'Room Service', 'Free Parking', 'Airport Transportation', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Aloft New York LaGuardia Airport
1,ALNYC353,259.2768085106383,40.80906,-73.95155,12,"['Free High Speed Internet ( WiFi )', 'Pool', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Business Center with Internet Access', 'Air Conditioning', 'Pool', 'Fitness Center with Gym / Workout Room']",Aloft Harlem
2,ALNYC647,284.79325,40.71029,-74.0069,126,"['Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Aloft Manhattan Downtown Financial District
3,ALNYC940,232.56063829787234,40.7485,-73.93989,85,"['Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Aloft Long Island City - Manhattan View
4,BINYCHBB,827.2485858585859,40.70224,-73.99554,68,"['Pool', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Pool', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Heated pool']",1 Hotel Brooklyn Bridge
5,BINYCHOT,951.2670796460175,40.76476,-73.97681,97,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",1 Hotel Central Park
6,BRNYCBRB,397.8358208955224,40.76104,-73.96941,94,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Room Service', 'Meeting Rooms', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Renaissance New York Hotel 57
7,BTNYC7A3,323.19259259259263,40.71494,-74.00969,73,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",The Frederick Hotel
8,BTNYCBLC,336.6028571428571,40.78255,-73.98111,17,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Business Center with Internet Access', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Fitness Center with Gym / Workout Room']",Hotel Belleclaire
9,BTNYCGER,298.0141304347827,40.74398,-73.98698,90,"['Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room']",The Evelyn
10,BWJFK119,157.69243697479004,40.66617,-73.78498,87,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Shuttle Bus Service', 'Airport Transportation', 'Breakfast included', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Fitness Center with Gym / Workout Room']",Best Western JFK Airport Hotel
11,BWJFK124,156.77105263157907,40.62484,-74.02764,35,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Breakfast included', 'Breakfast included', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Bar/Lounge']",BEST WESTERN Gregory Hotel
12,BWJFK141,142.90578947368402,40.70483,-73.8169,25,"['Free High Speed Internet ( WiFi )', 'Free Parking', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Breakfast included', 'Multilingual Staff', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Tennis Court']",Best Western Jamaica Inn
13,BWJFK142,170.26192982456146,40.67837,-73.94654,114,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Breakfast included', 'Multilingual Staff', 'Meeting Rooms', 'Business Center with Internet Access', 'Air Conditioning', 'Refrigerator in room', 'Microwave', 'Fitness Center with Gym / Workout Room']",Best Western Plus Arena Hotel
14,BWLGA131,163.5964516129032,40.584,-73.93862,14,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Breakfast included', 'Fitness Center with Gym / Workout Room']",Best Western Plus Brooklyn Bay Hotel
15,BWNYC111,131.24961538461523,40.75938,-73.83344,11,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Breakfast included', 'Room Service', 'Meeting Rooms', 'Fitness Center with Gym / Workout Room']",Best Western Queens Court Hotel
16,BWNYC114,415.7424999999999,40.75618,-73.97362,70,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Laundry Service', 'Dry Cleaning', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Tennis Court']",Best Western Plus Hospitality House
17,BWNYC133,247.32028985507264,40.7184,-73.99518,66,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Multilingual Staff', 'Dry Cleaning', 'Laundry Service', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Best Western Bowery Hanbee Hotel
18,BWNYC143,167.33823529411748,40.75607,-73.94047,9,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",Best Western Plaza Hotel
19,BWNYC152,326.03126984127005,40.75036,-73.98526,61,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Best Western Premier Herald Square
20,BWNYC157,132.55060240963857,40.76167,-73.76069,36,"['Restaurant', 'Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Free Parking', 'Breakfast included', 'Meeting Rooms', 'Multilingual Staff', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Banquet Room', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Best Western Queens Gold Coast
21,BWNYC160,136.7571052631578,40.7521,-73.85393,50,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Shuttle Bus Service', 'Free Parking', 'Airport Transportation', 'Breakfast included', 'Business Center with Internet Access', 'Multilingual Staff', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",Best Western Plus La Guardia Airport Hotel Queens
22,CCNYC222,231.28571428571428,40.7441,-73.98334,92,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Fitness Center with Gym / Workout Room', 'Tennis Court']",Clarion Hotel Park Avenue
23,CIEWR470,106.82758620689658,40.58743,-74.191,19,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Shuttle Bus Service', 'Breakfast included', 'Breakfast Available', 'Meeting Rooms', 'Business Center with Internet Access', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Comfort Inn Staten Island
24,CIJFK464,171.54250000000005,40.75906,-73.99007,99,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Multilingual Staff', 'Breakfast Available']",Comfort Inn Times Square West
25,CILGA265,148.48,40.7494,-73.94167,85,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Multilingual Staff', 'Breakfast Available', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Hot Tub']",Comfort Inn
26,CILGA392,124.3529411764706,40.76581,-73.88615,54,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Free Parking', 'Airport Transportation', 'Breakfast included', 'Breakfast Available', 'Free Parking', 'Dry Cleaning', 'Multilingual Staff']",Comfort Inn LaGuardia Airport - 83rd St
27,CINYC325,240.87173913043492,40.75555,-73.99178,15,"['Spa', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Multilingual Staff', 'Breakfast Available', 'Laundry Service', 'Spa', 'Fitness Center with Gym / Workout Room']",Comfort Inn Times Square South
28,CINYC355,226.17777777777786,40.7168,-73.99449,66,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Multilingual Staff', 'Breakfast included', 'Breakfast Available', 'Laundry Service', 'Concierge', 'Fitness Center with Gym / Workout Room']",Comfort Inn Manhattan Bridge
29,CINYC529,170.05000000000007,40.80993,-73.92932,96,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast Available', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",Comfort Inn & Suites near Stadium
30,CINYC548,252.42500000000007,40.76413,-73.99496,74,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Breakfast Available', 'Air Conditioning']",Comfort Inn Midtown West
31,CINYC551,241.3025641025642,40.71222,-73.99269,43,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Banquet Room', 'Breakfast Available', 'Airport Transportation', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Comfort Inn Lower East Side
32,CKNYCTHS,369.3857851239665,40.72453,-74.00821,77,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Refrigerator in room', 'Air Conditioning', 'Restaurant', 'Bar/Lounge']",Arlo SoHo
33,CKNYCTOM,356.18965517241367,40.74636,-73.98495,7,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge']",Arlo NoMad
34,CNNYC151,850.7305263157897,40.76357,-73.9807,23,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",The London NYC
35,CPNYC0DD,374.75,40.75374,-73.99374,78,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Children Activities (Kid / Family Friendly)', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",Crowne Plaza HY36 Midtown Manhattan
36,CPNYC58E,220.9824,40.66776,-73.79924,48,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Free Parking', 'Shuttle Bus Service', 'Room Service', 'Airport Transportation', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",Crowne Plaza JFK Airport New York City
37,CQNYC558,291.0,40.75587,-73.98084,69,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']","Club Quarters Hotel, Midtown"
38,CQNYC684,291.0,40.7068,-74.00899,102,"['Room Service', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']","Club Quarters Hotel, Wall Street"
39,CYJFKJFC,202.05405405405406,40.66706,-73.79304,91,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Restaurant', 'Shuttle Bus Service', 'Airport Transportation', 'Meeting Rooms', 'Business Center with Internet Access', 'Multilingual Staff', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Self-Serve Laundry', 'Breakfast Available', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Restaurant']",Courtyard by Marriott New York JFK Airport
40,CYNYCMDC,393.96629213483146,40.75386,-73.98578,61,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Dry Cleaning', 'Meeting Rooms', 'Banquet Room', 'Self-Serve Laundry', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Courtyard New York Manhattan/Times Square
41,CYNYCMEC,371.4078947368421,40.75727,-73.96965,3,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Banquet Room', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Courtyard New York Manhattan/Midtown East
42,CYNYCPKC,412.7625,40.76435,-73.98228,23,"['Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Self-Serve Laundry', 'Air Conditioning', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Restaurant']",Courtyard by Marriott New York Manhattan/Central Park
43,CYNYCXMC,356.0681818181818,40.70933,-74.01266,10,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Dry Cleaning', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Courtyard New York Downtown Manhattan / World Trade Center Area
44,DIJFK196,129.11923076923077,40.6747,-73.90581,8,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Breakfast included', 'Business Center with Internet Access', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",Days inn Brooklyn Crown Heights
