,latitude,longitude,price
0,40.5,-74.241,110.0
1,40.509,-74.24,259.0
2,40.509,-74.239,85.0
3,40.51,-74.253,800.0
4,40.511,-74.238,275.0
5,40.529,-74.16,75.0
6,40.535,-74.186,45.0
7,40.538,-74.217,245.0
8,40.539,-74.198,700.0
9,40.539,-74.17,106.0
10,40.54,-74.147,95.0
11,40.541,-74.147,70.0
12,40.543,-74.163,50.0
13,40.545,-74.148,99.0
14,40.55,-74.169,34.0
15,40.551,-74.169,41.0
16,40.552,-74.169,35.0
17,40.552,-74.146,65.0
18,40.552,-74.144,150.0
19,40.554,-74.164,75.0
20,40.556,-74.16,51.0
21,40.557,-74.14,75.0
22,40.562,-74.127,100.0
23,40.563,-74.148,91.0
24,40.565,-74.1,62.0
25,40.569,-74.095,80.0
26,40.569,-74.094,79.0
27,40.569,-73.861,137.0
28,40.57,-74.095,125.0
29,40.57,-74.094,60.0
30,40.571,-74.124,78.0
31,40.572,-74.097,59.0
32,40.573,-74.098,70.0
33,40.573,-74.096,90.0
34,40.573,-74.095,116.0
35,40.573,-73.994,30.0
36,40.573,-73.858,110.0
37,40.574,-74.094,100.0
38,40.574,-74.008,160.0
39,40.574,-73.99,100.0
40,40.575,-74.096,105.0
41,40.575,-74.095,50.0
42,40.575,-74.002,80.0
43,40.575,-74.001,80.0
44,40.575,-73.996,50.0
45,40.575,-73.966,67.0
46,40.575,-73.964,300.0
47,40.575,-73.955,137.0
48,40.575,-73.844,50.0
49,40.576,-74.011,767.5
50,40.576,-73.995,25.5
51,40.576,-73.986,170.0
52,40.576,-73.985,64.0
53,40.576,-73.97,119.0
54,40.576,-73.968,299.0
55,40.576,-73.965,87.0
56,40.576,-73.961,35.0
57,40.576,-73.96,412.5
58,40.576,-73.954,100.0
59,40.577,-74.14,200.0
60,40.577,-74.012,95.0
61,40.577,-74.002,99.0
62,40.577,-73.984,103.0
63,40.577,-73.971,75.0
64,40.577,-73.968,250.0
65,40.577,-73.967,180.0
66,40.577,-73.966,50.0
67,40.577,-73.964,70.0
68,40.577,-73.961,114.66666666666667
69,40.577,-73.96,107.5
70,40.577,-73.958,70.0
71,40.577,-73.953,130.0
72,40.577,-73.94,79.0
73,40.578,-74.089,120.0
74,40.578,-74.01,160.0
75,40.578,-74.006,300.0
76,40.578,-73.986,80.0
77,40.578,-73.985,40.0
78,40.578,-73.983,50.0
79,40.578,-73.969,165.0
80,40.578,-73.963,85.0
81,40.578,-73.958,199.0
82,40.578,-73.957,99.0
83,40.578,-73.955,75.0
84,40.578,-73.941,75.0
85,40.578,-73.94,45.0
86,40.578,-73.84,75.0
87,40.579,-74.01,71.0
88,40.579,-74.007,79.0
89,40.579,-73.987,50.0
90,40.579,-73.984,160.0
91,40.579,-73.981,135.0
92,40.579,-73.965,49.0
93,40.579,-73.963,0.0
94,40.579,-73.954,99.0
95,40.579,-73.953,129.0
96,40.579,-73.952,99.0
97,40.579,-73.848,225.0
98,40.58,-74.107,80.0
99,40.58,-73.964,300.0
100,40.58,-73.962,149.0
101,40.58,-73.961,60.0
102,40.58,-73.959,100.0
103,40.58,-73.942,55.0
104,40.58,-73.94,219.5
105,40.581,-74.155,55.0
106,40.581,-74.092,165.0
107,40.581,-73.967,129.0
108,40.581,-73.962,58.0
109,40.581,-73.961,60.0
110,40.581,-73.96,30.0
111,40.581,-73.958,50.0
112,40.581,-73.954,135.0
113,40.581,-73.945,100.0
114,40.581,-73.939,130.0
115,40.582,-73.964,150.0
116,40.582,-73.962,120.0
117,40.582,-73.96,60.0
118,40.582,-73.953,150.0
119,40.583,-73.97,108.0
120,40.583,-73.966,80.0
121,40.583,-73.96,39.0
122,40.583,-73.959,73.0
123,40.583,-73.958,2529.25
124,40.583,-73.954,115.0
125,40.583,-73.934,43.0
126,40.583,-73.816,88.0
127,40.584,-73.959,99.0
128,40.584,-73.958,39.0
129,40.584,-73.955,50.0
130,40.584,-73.942,100.0
131,40.584,-73.941,77.5
132,40.584,-73.936,124.0
133,40.584,-73.935,95.0
134,40.584,-73.819,91.0
135,40.584,-73.817,299.0
136,40.584,-73.812,75.0
137,40.585,-74.071,60.0
138,40.585,-73.969,75.0
139,40.585,-73.967,32.0
140,40.585,-73.959,199.0
141,40.585,-73.958,92.0
142,40.585,-73.952,70.0
143,40.585,-73.945,150.0
144,40.585,-73.939,189.0
145,40.585,-73.935,178.0
146,40.585,-73.934,54.0
147,40.585,-73.932,75.0
148,40.585,-73.817,102.66666666666667
149,40.585,-73.815,140.0
150,40.585,-73.814,500.0
151,40.586,-73.968,32.0
152,40.586,-73.967,90.0
153,40.586,-73.966,32.0
154,40.586,-73.956,55.0
155,40.586,-73.953,45.0
156,40.586,-73.949,40.0
157,40.586,-73.948,59.0
158,40.586,-73.938,189.0
159,40.586,-73.935,220.0
160,40.586,-73.928,2000.0
161,40.586,-73.819,150.0
162,40.586,-73.815,125.0
163,40.586,-73.814,146.0
164,40.586,-73.812,350.0
165,40.586,-73.806,85.0
166,40.586,-73.799,180.0
167,40.587,-73.989,199.0
168,40.587,-73.969,72.5
169,40.587,-73.967,32.0
170,40.587,-73.965,52.0
171,40.587,-73.96,100.0
172,40.587,-73.958,54.0
173,40.587,-73.957,130.0
174,40.587,-73.956,45.0
175,40.587,-73.943,83.0
176,40.587,-73.939,130.0
177,40.587,-73.816,70.0
178,40.587,-73.815,97.5
179,40.587,-73.814,70.0
180,40.587,-73.813,205.0
181,40.587,-73.812,105.0
182,40.587,-73.8,124.0
183,40.588,-74.07,80.0
184,40.588,-73.987,180.0
185,40.588,-73.966,125.0
186,40.588,-73.963,30.0
187,40.588,-73.957,130.0
188,40.588,-73.949,55.0
189,40.588,-73.947,70.0
190,40.588,-73.945,50.0
191,40.588,-73.814,167.5
192,40.588,-73.813,122.5
193,40.588,-73.812,98.5
194,40.588,-73.807,33.0
195,40.588,-73.802,98.0
196,40.588,-73.801,86.0
197,40.588,-73.8,139.5
198,40.588,-73.799,450.0
199,40.588,-73.796,129.0
200,40.588,-73.795,80.0
201,40.588,-73.793,159.0
202,40.588,-73.792,715.0
203,40.588,-73.791,95.0
204,40.589,-73.98,450.0
205,40.589,-73.974,60.0
206,40.589,-73.973,65.0
207,40.589,-73.966,32.0
208,40.589,-73.956,50.0
209,40.589,-73.927,125.0
210,40.589,-73.816,233.33333333333334
211,40.589,-73.814,99.0
212,40.589,-73.812,207.5
213,40.589,-73.811,63.0
214,40.589,-73.805,25.0
215,40.589,-73.801,157.5
216,40.589,-73.8,75.0
217,40.589,-73.796,93.0
218,40.589,-73.795,117.0
219,40.589,-73.794,138.0
220,40.589,-73.792,25.0
221,40.589,-73.791,200.0
222,40.59,-74.078,70.0
223,40.59,-73.961,105.0
224,40.59,-73.938,120.0
225,40.59,-73.815,170.0
226,40.59,-73.814,113.0
227,40.59,-73.813,100.0
228,40.59,-73.812,245.0
229,40.59,-73.795,159.0
230,40.59,-73.794,87.0
231,40.59,-73.793,55.0
232,40.59,-73.792,129.0
233,40.59,-73.791,69.0
234,40.59,-73.79,161.0
235,40.591,-74.156,90.0
236,40.591,-74.082,275.0
237,40.591,-74.072,109.0
238,40.591,-73.949,50.0
239,40.591,-73.946,69.0
240,40.591,-73.945,31.0
241,40.591,-73.812,140.0
242,40.591,-73.811,155.0
243,40.591,-73.803,275.0
244,40.591,-73.801,100.0
245,40.591,-73.796,150.0
246,40.591,-73.793,75.0
247,40.591,-73.792,97.0
248,40.591,-73.79,0.0
249,40.591,-73.789,105.0
250,40.591,-73.74,300.0
251,40.592,-74.065,625.0
252,40.592,-73.97,225.0
253,40.592,-73.956,85.0
254,40.592,-73.95,50.0
255,40.592,-73.941,55.0
256,40.592,-73.793,55.0
257,40.592,-73.792,200.0
258,40.592,-73.791,85.0
259,40.592,-73.79,130.0
260,40.592,-73.789,30.0
261,40.592,-73.788,100.0
262,40.592,-73.787,92.5
263,40.593,-74.162,60.0
264,40.593,-74.069,125.0
265,40.593,-74.067,125.0
266,40.593,-74.065,250.0
267,40.593,-73.958,50.0
268,40.593,-73.943,199.0
269,40.593,-73.942,50.0
270,40.593,-73.937,60.0
271,40.593,-73.79,250.0
272,40.593,-73.773,40.0
273,40.593,-73.76,60.0
274,40.593,-73.758,117.5
275,40.593,-73.757,95.0
276,40.594,-74.162,60.0
277,40.594,-74.088,84.0
278,40.594,-74.07,105.0
279,40.594,-74.068,75.0
280,40.594,-73.944,95.0
281,40.594,-73.8,127.5
282,40.594,-73.797,300.0
283,40.594,-73.795,94.0
284,40.594,-73.791,250.0
285,40.594,-73.789,75.0
286,40.594,-73.774,50.0
287,40.594,-73.758,100.0
288,40.595,-74.087,65.0
289,40.595,-74.065,103.5
290,40.595,-73.989,109.0
291,40.595,-73.987,45.0
292,40.595,-73.971,150.0
293,40.595,-73.966,120.0
294,40.595,-73.95,250.0
295,40.595,-73.772,119.0
296,40.595,-73.758,100.0
297,40.595,-73.755,50.0
298,40.595,-73.754,38.0
299,40.596,-74.095,85.0
300,40.596,-74.066,119.0
301,40.596,-73.975,100.0
302,40.596,-73.973,109.0
303,40.596,-73.969,27.0
304,40.596,-73.964,119.0
305,40.596,-73.958,55.0
306,40.596,-73.796,49.0
307,40.596,-73.789,191.0
308,40.596,-73.779,180.0
309,40.596,-73.778,45.0
310,40.596,-73.759,110.0
311,40.596,-73.756,28.5
312,40.596,-73.755,38.0
313,40.596,-73.746,100.0
314,40.596,-73.741,300.0
315,40.597,-74.088,29.0
316,40.597,-74.087,27.0
317,40.597,-74.086,0.0
318,40.597,-74.083,31.0
319,40.597,-74.071,119.0
320,40.597,-74.065,68.0
321,40.597,-73.999,89.0
322,40.597,-73.973,110.0
323,40.597,-73.965,29.0
324,40.597,-73.962,139.0
325,40.597,-73.96,100.0
326,40.597,-73.953,150.0
327,40.597,-73.951,50.0
328,40.597,-73.8,107.5
329,40.597,-73.794,75.0
330,40.597,-73.792,50.0
331,40.597,-73.76,32.0
332,40.597,-73.756,100.0
333,40.597,-73.755,30.5
334,40.597,-73.745,130.0
335,40.598,-74.084,31.0
336,40.598,-73.998,69.0
337,40.598,-73.983,20.0
338,40.598,-73.961,50.0
339,40.598,-73.955,35.0
340,40.598,-73.954,41.0
341,40.598,-73.802,92.0
342,40.598,-73.8,42.0
343,40.598,-73.799,50.0
344,40.598,-73.753,40.0
345,40.598,-73.748,40.0
346,40.598,-73.74,210.0
347,40.599,-74.099,250.0
348,40.599,-74.007,97.0
349,40.599,-73.974,85.0
350,40.599,-73.954,35.0
351,40.599,-73.799,50.0
352,40.599,-73.797,150.0
353,40.599,-73.754,30.0
354,40.599,-73.749,50.0
355,40.599,-73.744,135.0
356,40.6,-74.126,80.0
357,40.6,-73.993,67.0
358,40.6,-73.962,39.0
359,40.6,-73.956,45.0
360,40.6,-73.953,55.0
361,40.6,-73.951,88.0
362,40.6,-73.94,125.0
363,40.6,-73.767,50.0
364,40.6,-73.765,60.0
365,40.6,-73.754,90.0
366,40.6,-73.751,50.0
367,40.601,-74.133,59.0
368,40.601,-74.078,35.0
369,40.601,-74.009,95.0
