name,artist,album,date,explicit,features,acousticness,danceability,energy,key,loudness,speechiness,tempo,valence,popularity
God's Plan,Drake,Scorpion,2018,True,None,0.0332,0.754,0.449,7,-9.211,0.109,77.169,0.357,88
SAD!,XXXTENTACION,?,2018,True,None,0.258,0.74,0.613,8,-4.88,0.145,75.023,0.473,91
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,2018,True,21 Savage,0.117,0.587,0.535,5,-6.09,0.0898,159.847,0.14,89
Psycho (feat. Ty Dolla $ign),Post Malone,beerbongs & bentleys,2018,True,Ty Dolla $ign,0.58,0.739,0.559,8,-8.011,0.117,140.124,0.439,87
In My Feelings,Drake,Scorpion,2018,True,None,0.0589,0.835,0.626,1,-5.833,0.125,91.03,0.35,90
Better Now,Post Malone,beerbongs & bentleys,2018,True,None,0.354,0.68,0.563,10,-5.843,0.0454,145.028,0.374,91
I Like It,Cardi B,Invasion of Privacy,2018,True,"Bad Bunny, J Balvin",0.099,0.816,0.726,5,-3.998,0.129,136.048,0.65,89
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),2018,False,Dua Lipa,0.037,0.791,0.862,9,-3.24,0.11,123.994,0.592,87
IDGAF,Dua Lipa,Dua Lipa (Deluxe),2017,True,None,0.0403,0.836,0.544,7,-5.975,0.0943,97.028,0.51,85
FRIENDS,Marshmello,FRIENDS,2018,True,Anne-Marie,0.205,0.626,0.88,9,-2.384,0.0504,95.079,0.534,86
Havana,Camila Cabello,Camila,2018,False,Young Thug,0.184,0.765,0.523,2,-4.333,0.03,104.988,0.394,86
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018,True,None,0.349,0.511,0.566,6,-7.23,0.2,83.903,0.218,90
Nice For What,Drake,Scorpion,2018,True,None,0.0891,0.586,0.909,8,-6.474,0.0705,93.394,0.757,85
Girls Like You (feat. Cardi B),Maroon 5,Red Pill Blues (Deluxe),2018,True,Cardi B,0.568,0.851,0.541,0,-6.825,0.0505,124.959,0.448,83
The Middle,Zedd,The Middle,2018,False,"Maren Morris, Grey",0.171,0.753,0.657,7,-3.061,0.0449,107.01,0.437,86
All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018,True,SZA,0.0605,0.698,0.633,8,-4.946,0.0597,96.924,0.552,82
no tears left to cry,Ariana Grande,Sweetener,2018,False,None,0.04,0.699,0.713,9,-5.507,0.0594,121.993,0.354,88
X,Nicky Jam,X,2018,False,J Balvin,0.0364,0.595,0.773,9,-4.736,0.0549,180.073,0.711,82
Moonlight,XXXTENTACION,?,2018,True,None,0.556,0.921,0.537,9,-5.723,0.0804,128.009,0.711,91
Look Alive (feat. Drake),BlocBoy JB,Look Alive (feat. Drake),2018,True,Drake,0.00104,0.922,0.581,10,-7.495,0.27,140.022,0.595,84
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",2018,False,"Jess Glynne, Macklemore, Dan Caplen",0.194,0.653,0.809,0,-4.057,0.0474,92.213,0.55,84
Te Boté - Remix,Nio Garcia,Te Boté (Remix),2018,True,"Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",0.542,0.903,0.675,11,-3.445,0.214,96.507,0.442,88
Mine,Bazzi,COSMIC,2018,True,None,0.0161,0.71,0.789,4,-3.874,0.0722,142.929,0.717,84
Youngblood,5 Seconds of Summer,Youngblood (Deluxe),2018,False,None,0.0169,0.596,0.854,7,-5.114,0.463,120.274,0.152,85
